Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,181,180,125,134,109,120,92,91,68,49,33,99,68.5,B C,1290
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,186,185,132,136,112,121,99,89,69,52,28,90,75.5,- A,1420
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,173,170,120,136,113,121,91,93,65,47,23,102,67,D E,1200
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,179,178,130,137,112,120,98,90,68?,51,26,92,,,1355
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,181,180,134,136,118,130,105,104,73,53,29,99,70,C D,1400
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,181,181,130,135,117,126,102,94,66,49,29,92,77,A,1350
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,180,180,130,146,116,125,99,101,73,54,29,102,66.5,D,1455
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,184,184,128,136,116,126,102,103,66,47,31,101,70,D E,1365
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,178,177,128,139,113,122,96,98,68,48,28,102,68,D E,1345
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,178,178,132,134,108,116,92,89,72,52,24,97,68,A B,1340
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,179,178,129,137,119,124,99,98,68,49,26,99,70,C D,1345
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,185,185,131,132,114,124,96,93,72,53,24,97,69.5,B,1360
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,175,135,136,112,116,97,97,63,49,26,100,70.5,D,1365
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,172,172,121,123,105,117,93,83,66,50,25,89,76,- A,1090
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,186,185,123,132,120,129,106,103,79,60,25,97,69.5,B,1285
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,177,177,130,132,113,122,92,86,66,49,22,93,72.5,A,1290
